,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
63125,63125,14755,,$25000 or more,,Pretty happy,14755.0
63128,63128,17025,,$25000 or more,,Pretty happy,17025.0
63129,63129,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63130,63130,17025,,$25000 or more,,Very happy,17025.0
63132,63132,20430,,$25000 or more,,Pretty happy,20430.0
63133,63133,3405,,$7000 to 7999,,Pretty happy,3405.0
63136,63136,6242.5,,$10000 - 14999,,Very happy,6242.5
63137,63137,151050.7214,,Refused,,Very happy,151050.7214
63139,63139,2043,,$4000 to 4999,,Pretty happy,2043.0
63140,63140,6242.5,,$10000 - 14999,,Very happy,6242.5
63141,63141,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63142,63142,17025,,$25000 or more,,Pretty happy,17025.0
63144,63144,9647.5,,$20000 - 24999,,Not too happy,9647.5
63146,63146,30645,,$25000 or more,,Pretty happy,30645.0
63147,63147,17025,,$25000 or more,10,Very happy,17025.0
63148,63148,20430,,$25000 or more,,Pretty happy,20430.0
63150,63150,37455,,$25000 or more,,Pretty happy,37455.0
63151,63151,7377.5,,$15000 - 19999,,Pretty happy,7377.5
63153,63153,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63156,63156,20430,,$25000 or more,,Pretty happy,20430.0
63157,63157,8512.5,,$15000 - 19999,,Not too happy,8512.5
63158,63158,20430,,$25000 or more,,Pretty happy,20430.0
63160,63160,14755,,$25000 or more,,Very happy,14755.0
63161,63161,12485,,$25000 or more,,Not too happy,12485.0
63166,63166,24970,,$25000 or more,,Very happy,24970.0
63169,63169,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63171,63171,37455,,$25000 or more,,Not too happy,37455.0
63172,63172,72640,,$25000 or more,,Very happy,72640.0
63173,63173,37455,,$25000 or more,,Very happy,37455.0
63177,63177,2043,,$4000 to 4999,,Not too happy,2043.0
63178,63178,17025,,$25000 or more,,Very happy,17025.0
63180,63180,9647.5,,$20000 - 24999,,Not too happy,9647.5
63181,63181,63560,,$25000 or more,,Very happy,63560.0
63183,63183,54480,,$25000 or more,40,Pretty happy,54480.0
63184,63184,63560,,$25000 or more,,Very happy,63560.0
63185,63185,37455,,$25000 or more,,Very happy,37455.0
63186,63186,908,,$1000 to 2999,,Pretty happy,908.0
63187,63187,72640,,$25000 or more,,Pretty happy,72640.0
63191,63191,9647.5,,$20000 - 24999,,Very happy,9647.5
63192,63192,24970,,$25000 or more,,Pretty happy,24970.0
63193,63193,2497,,$5000 to 5999,,Pretty happy,2497.0
63194,63194,24970,,$25000 or more,,Very happy,24970.0
63196,63196,14755,,$25000 or more,,Very happy,14755.0
63197,63197,5107.5,,$10000 - 14999,,Not too happy,5107.5
63199,63199,37455,,$25000 or more,,Pretty happy,37455.0
63200,63200,3405,,$7000 to 7999,,Very happy,3405.0
63201,63201,30645,,$25000 or more,,Very happy,30645.0
63203,63203,908,,$1000 to 2999,,Very happy,908.0
63205,63205,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63206,63206,12485,,$25000 or more,,Very happy,12485.0
63207,63207,24970,,$25000 or more,,Not too happy,24970.0
63208,63208,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63209,63209,20430,,$25000 or more,,Not too happy,20430.0
63211,63211,20430,,$25000 or more,,Pretty happy,20430.0
63212,63212,2497,,$5000 to 5999,,Pretty happy,2497.0
63213,63213,7377.5,,$15000 - 19999,,Pretty happy,7377.5
63214,63214,24970,,$25000 or more,,Pretty happy,24970.0
63217,63217,54480,,$25000 or more,,Pretty happy,54480.0
63219,63219,10782.5,,$20000 - 24999,,Not too happy,10782.5
63220,63220,14755,,$25000 or more,,Very happy,14755.0
63222,63222,37455,,$25000 or more,,Very happy,37455.0
63223,63223,2497,,$5000 to 5999,,Very happy,2497.0
63225,63225,20430,,$25000 or more,,Very happy,20430.0
63227,63227,45400,,$25000 or more,,Very happy,45400.0
63228,63228,24970,,$25000 or more,,Very happy,24970.0
63229,63229,1589,,$3000 to 3999,,Pretty happy,1589.0
63230,63230,151050.7214,,Refused,,Very happy,151050.7214
63231,63231,63560,,$25000 or more,,Pretty happy,63560.0
63234,63234,12485,,$25000 or more,,Pretty happy,12485.0
63235,63235,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63236,63236,24970,,$25000 or more,40,Very happy,24970.0
63240,63240,20430,,$25000 or more,40,Pretty happy,20430.0
63241,63241,7377.5,,$15000 - 19999,,Pretty happy,7377.5
63243,63243,37455,,$25000 or more,,Pretty happy,37455.0
63244,63244,20430,,$25000 or more,,Pretty happy,20430.0
63246,63246,20430,,$25000 or more,,Very happy,20430.0
63249,63249,7377.5,,$15000 - 19999,,Pretty happy,7377.5
63250,63250,30645,,$25000 or more,,Pretty happy,30645.0
63251,63251,17025,,$25000 or more,40,Very happy,17025.0
63252,63252,5107.5,,$10000 - 14999,,Very happy,5107.5
63253,63253,6242.5,,$10000 - 14999,,Pretty happy,6242.5
63254,63254,37455,,$25000 or more,,Pretty happy,37455.0
63255,63255,30645,,$25000 or more,,Pretty happy,30645.0
63258,63258,17025,,$25000 or more,,Pretty happy,17025.0
63259,63259,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63262,63262,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63263,63263,5107.5,,$10000 - 14999,,Pretty happy,5107.5
