,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
3117,3117,4935,,$1000 to 2999,,Very happy,4935.0
3118,3118,43178,,$15000 - 19999,,Very happy,43178.0
3121,3121,18505,,$7000 to 7999,,Pretty happy,18505.0
3122,3122,22206,,$8000 to 9999,,Pretty happy,22206.0
3123,3123,55515,,$20000 - 24999,,Very happy,55515.0
3126,3126,4935,,$1000 to 2999,,Very happy,4935.0
3131,3131,4935,,$1000 to 2999,,Very happy,4935.0
3132,3132,18505,,$7000 to 7999,,Very happy,18505.0
3137,3137,11103,,$4000 to 4999,,Not too happy,11103.0
3142,3142,30841,,$10000 - 14999,,Very happy,30841.0
3143,3143,30841,,$10000 - 14999,,Very happy,30841.0
3146,3146,11103,,$4000 to 4999,,Pretty happy,11103.0
3147,3147,96450,,$25000 or more,,Pretty happy,96450.0
3149,3149,8636,,$3000 to 3999,,Very happy,8636.0
3150,3150,1234,,Lt $1000,,Pretty happy,1234.0
3152,3152,13570,,$5000 to 5999,,Very happy,13570.0
3153,3153,43178,,$15000 - 19999,,Very happy,43178.0
3156,3156,30841,,$10000 - 14999,,Pretty happy,30841.0
3157,3157,30841,,$10000 - 14999,,Very happy,30841.0
3158,3158,22206,,$8000 to 9999,,Pretty happy,22206.0
3161,3161,16038,,$6000 to 6999,,Very happy,16038.0
3162,3162,30841,,$10000 - 14999,,Pretty happy,30841.0
3166,3166,13570,,$5000 to 5999,,Very happy,13570.0
3171,3171,30841,,$10000 - 14999,,Pretty happy,30841.0
3172,3172,11103,,$4000 to 4999,,Pretty happy,11103.0
3174,3174,1234,,Lt $1000,,Not too happy,1234.0
3176,3176,30841,,$10000 - 14999,,Pretty happy,30841.0
3178,3178,13570,,$5000 to 5999,,Pretty happy,13570.0
3180,3180,13570,,$5000 to 5999,,Very happy,13570.0
3181,3181,13570,,$5000 to 5999,,Very happy,13570.0
3184,3184,55515,,$20000 - 24999,,Pretty happy,55515.0
3186,3186,30841,,$10000 - 14999,,Very happy,30841.0
3191,3191,4935,,$1000 to 2999,,Pretty happy,4935.0
3193,3193,18505,,$7000 to 7999,,Pretty happy,18505.0
3194,3194,16038,,$6000 to 6999,,Pretty happy,16038.0
3197,3197,96450,,$25000 or more,,Very happy,96450.0
3198,3198,55515,,$20000 - 24999,,Pretty happy,55515.0
3200,3200,1234,,Lt $1000,,Very happy,1234.0
3201,3201,13570,,$5000 to 5999,,Pretty happy,13570.0
3202,3202,30841,,$10000 - 14999,,Pretty happy,30841.0
3203,3203,11103,,$4000 to 4999,,Pretty happy,11103.0
3206,3206,4935,,$1000 to 2999,,Very happy,4935.0
3207,3207,18505,,$7000 to 7999,,Pretty happy,18505.0
3211,3211,1234,,Lt $1000,,Very happy,1234.0
3212,3212,1234,,Lt $1000,,Pretty happy,1234.0
3216,3216,8636,,$3000 to 3999,,Pretty happy,8636.0
3217,3217,13570,,$5000 to 5999,,Very happy,13570.0
3218,3218,13570,,$5000 to 5999,,Pretty happy,13570.0
3219,3219,96450,,$25000 or more,,Very happy,96450.0
3220,3220,13570,,$5000 to 5999,,Pretty happy,13570.0
3221,3221,13570,,$5000 to 5999,,Not too happy,13570.0
3226,3226,22206,,$8000 to 9999,,Very happy,22206.0
3227,3227,30841,,$10000 - 14999,,Pretty happy,30841.0
3228,3228,30841,,$10000 - 14999,,Very happy,30841.0
3229,3229,43178,,$15000 - 19999,,Pretty happy,43178.0
3231,3231,1234,,Lt $1000,,Pretty happy,1234.0
3232,3232,22206,,$8000 to 9999,,Pretty happy,22206.0
3233,3233,96450,,$25000 or more,,Very happy,96450.0
3235,3235,22206,,$8000 to 9999,,Very happy,22206.0
3237,3237,43178,,$15000 - 19999,,Not too happy,43178.0
3238,3238,30841,,$10000 - 14999,,Very happy,30841.0
3240,3240,8636,,$3000 to 3999,,Pretty happy,8636.0
3241,3241,8636,,$3000 to 3999,,Pretty happy,8636.0
3242,3242,16038,,$6000 to 6999,,Pretty happy,16038.0
3243,3243,16038,,$6000 to 6999,,Pretty happy,16038.0
3244,3244,16038,,$6000 to 6999,,Not too happy,16038.0
3246,3246,13570,,$5000 to 5999,,Very happy,13570.0
3247,3247,13570,,$5000 to 5999,,Pretty happy,13570.0
3248,3248,43178,,$15000 - 19999,40,Not too happy,43178.0
3251,3251,16038,,$6000 to 6999,,Pretty happy,16038.0
3252,3252,11103,,$4000 to 4999,,Pretty happy,11103.0
3256,3256,8636,,$3000 to 3999,,Very happy,8636.0
3257,3257,1234,,Lt $1000,40,Pretty happy,1234.0
3258,3258,4935,,$1000 to 2999,,Pretty happy,4935.0
3259,3259,4935,,$1000 to 2999,,Not too happy,4935.0
3261,3261,8636,,$3000 to 3999,,Pretty happy,8636.0
3262,3262,22206,,$8000 to 9999,,Pretty happy,22206.0
3263,3263,96450,,$25000 or more,,Pretty happy,96450.0
3264,3264,96450,,$25000 or more,,Pretty happy,96450.0
3266,3266,22206,,$8000 to 9999,,Pretty happy,22206.0
3267,3267,8636,,$3000 to 3999,,Not too happy,8636.0
3268,3268,30841,,$10000 - 14999,,Pretty happy,30841.0
3269,3269,11103,,$4000 to 4999,,Not too happy,11103.0
3272,3272,13570,,$5000 to 5999,,Pretty happy,13570.0
3273,3273,43178,,$15000 - 19999,,Very happy,43178.0
3274,3274,22206,,$8000 to 9999,,Very happy,22206.0
3276,3276,4935,,$1000 to 2999,,Pretty happy,4935.0
3278,3278,16038,,$6000 to 6999,,Pretty happy,16038.0
3281,3281,4935,,$1000 to 2999,,Very happy,4935.0
3282,3282,18505,,$7000 to 7999,,Pretty happy,18505.0
3290,3290,4935,,$1000 to 2999,,Very happy,4935.0
3292,3292,55515,,$20000 - 24999,,Not too happy,55515.0
3293,3293,55515,,$20000 - 24999,,Very happy,55515.0
3296,3296,22206,,$8000 to 9999,40,Not too happy,22206.0
3297,3297,13570,,$5000 to 5999,,Very happy,13570.0
3298,3298,43178,,$15000 - 19999,,Not too happy,43178.0
3300,3300,18505,,$7000 to 7999,,Very happy,18505.0
3301,3301,22206,,$8000 to 9999,,Not too happy,22206.0
3302,3302,43178,,$15000 - 19999,,Pretty happy,43178.0
3306,3306,22206,,$8000 to 9999,,Very happy,22206.0
3307,3307,18505,,$7000 to 7999,,Not too happy,18505.0
3308,3308,43178,,$15000 - 19999,,Not too happy,43178.0
3311,3311,1234,,Lt $1000,,Pretty happy,1234.0
3312,3312,4935,,$1000 to 2999,,Not too happy,4935.0
3313,3313,30841,,$10000 - 14999,,Pretty happy,30841.0
3315,3315,13570,,$5000 to 5999,,Very happy,13570.0
3316,3316,16038,,$6000 to 6999,,Pretty happy,16038.0
3318,3318,30841,,$10000 - 14999,,Pretty happy,30841.0
3322,3322,96450,,$25000 or more,,Very happy,96450.0
3323,3323,43178,,$15000 - 19999,,Very happy,43178.0
3325,3325,43178,,$15000 - 19999,,Very happy,43178.0
3326,3326,1234,,Lt $1000,,Very happy,1234.0
3330,3330,1234,,Lt $1000,5,Very happy,1234.0
3331,3331,8636,,$3000 to 3999,,Very happy,8636.0
3332,3332,30841,,$10000 - 14999,,Not too happy,30841.0
3335,3335,11103,,$4000 to 4999,,Pretty happy,11103.0
3336,3336,1234,,Lt $1000,40,Pretty happy,1234.0
3337,3337,30841,,$10000 - 14999,,Pretty happy,30841.0
3338,3338,30841,,$10000 - 14999,,Pretty happy,30841.0
3339,3339,96450,,$25000 or more,,Pretty happy,96450.0
3343,3343,43178,,$15000 - 19999,,Pretty happy,43178.0
3347,3347,30841,,$10000 - 14999,,Very happy,30841.0
3351,3351,16038,,$6000 to 6999,,Not too happy,16038.0
3352,3352,11103,,$4000 to 4999,,Not too happy,11103.0
3356,3356,1234,,Lt $1000,,Pretty happy,1234.0
3357,3357,13570,,$5000 to 5999,,Very happy,13570.0
3358,3358,8636,,$3000 to 3999,,Pretty happy,8636.0
3359,3359,1234,,Lt $1000,,Pretty happy,1234.0
3363,3363,55515,,$20000 - 24999,,Pretty happy,55515.0
3366,3366,22206,,$8000 to 9999,,Very happy,22206.0
3367,3367,22206,,$8000 to 9999,,Very happy,22206.0
3368,3368,30841,,$10000 - 14999,,Pretty happy,30841.0
3369,3369,1234,,Lt $1000,,Very happy,1234.0
3370,3370,16038,,$6000 to 6999,,Very happy,16038.0
3371,3371,4935,,$1000 to 2999,,Very happy,4935.0
3373,3373,22206,,$8000 to 9999,,Pretty happy,22206.0
3374,3374,22206,,$8000 to 9999,,Pretty happy,22206.0
3376,3376,11103,,$4000 to 4999,,Pretty happy,11103.0
3377,3377,43178,,$15000 - 19999,,Very happy,43178.0
3381,3381,1234,,Lt $1000,20,Pretty happy,1234.0
3382,3382,1234,,Lt $1000,,Pretty happy,1234.0
3383,3383,30841,,$10000 - 14999,,Pretty happy,30841.0
3386,3386,11103,,$4000 to 4999,,Very happy,11103.0
3387,3387,18505,,$7000 to 7999,,Very happy,18505.0
3388,3388,96450,,$25000 or more,,Very happy,96450.0
3392,3392,43178,,$15000 - 19999,,Very happy,43178.0
3393,3393,55515,,$20000 - 24999,,Pretty happy,55515.0
3395,3395,4935,,$1000 to 2999,,Very happy,4935.0
3397,3397,16038,,$6000 to 6999,,Pretty happy,16038.0
3398,3398,30841,,$10000 - 14999,,Very happy,30841.0
3401,3401,30841,,$10000 - 14999,,Pretty happy,30841.0
3402,3402,18505,,$7000 to 7999,,Very happy,18505.0
3403,3403,55515,,$20000 - 24999,,Very happy,55515.0
3406,3406,13570,,$5000 to 5999,,Very happy,13570.0
3407,3407,30841,,$10000 - 14999,,Very happy,30841.0
3408,3408,30841,,$10000 - 14999,,Pretty happy,30841.0
3410,3410,4935,,$1000 to 2999,,Very happy,4935.0
3411,3411,8636,,$3000 to 3999,,Pretty happy,8636.0
3412,3412,30841,,$10000 - 14999,,Not too happy,30841.0
3413,3413,30841,,$10000 - 14999,,Pretty happy,30841.0
3414,3414,11103,,$4000 to 4999,,Not too happy,11103.0
3415,3415,30841,,$10000 - 14999,,Pretty happy,30841.0
3416,3416,30841,,$10000 - 14999,,Very happy,30841.0
3417,3417,96450,,$25000 or more,,Very happy,96450.0
3420,3420,43178,,$15000 - 19999,,Pretty happy,43178.0
3421,3421,30841,,$10000 - 14999,,Pretty happy,30841.0
3422,3422,22206,,$8000 to 9999,,Very happy,22206.0
3423,3423,11103,,$4000 to 4999,,Pretty happy,11103.0
3425,3425,30841,,$10000 - 14999,,Pretty happy,30841.0
3426,3426,55515,,$20000 - 24999,,Pretty happy,55515.0
3427,3427,30841,,$10000 - 14999,,Not too happy,30841.0
3428,3428,30841,,$10000 - 14999,,Pretty happy,30841.0
3430,3430,30841,,$10000 - 14999,,Pretty happy,30841.0
3431,3431,43178,,$15000 - 19999,40,Pretty happy,43178.0
3432,3432,43178,,$15000 - 19999,40,Pretty happy,43178.0
3435,3435,4935,,$1000 to 2999,,Pretty happy,4935.0
3436,3436,16038,,$6000 to 6999,,Pretty happy,16038.0
3437,3437,55515,,$20000 - 24999,,Pretty happy,55515.0
3438,3438,96450,,$25000 or more,,Very happy,96450.0
3440,3440,43178,,$15000 - 19999,,Very happy,43178.0
3441,3441,30841,,$10000 - 14999,,Pretty happy,30841.0
3443,3443,55515,,$20000 - 24999,,Very happy,55515.0
3444,3444,18505,,$7000 to 7999,,Pretty happy,18505.0
3446,3446,55515,,$20000 - 24999,,Pretty happy,55515.0
3449,3449,8636,,$3000 to 3999,,Pretty happy,8636.0
3456,3456,30841,,$10000 - 14999,,Pretty happy,30841.0
3459,3459,13570,,$5000 to 5999,,Pretty happy,13570.0
3460,3460,55515,,$20000 - 24999,,Very happy,55515.0
3461,3461,22206,,$8000 to 9999,,Pretty happy,22206.0
3462,3462,30841,,$10000 - 14999,,Pretty happy,30841.0
3463,3463,4935,,$1000 to 2999,,Pretty happy,4935.0
3464,3464,13570,,$5000 to 5999,40,Very happy,13570.0
3465,3465,13570,,$5000 to 5999,,Very happy,13570.0
3466,3466,13570,,$5000 to 5999,,Very happy,13570.0
3470,3470,22206,,$8000 to 9999,,Pretty happy,22206.0
3475,3475,13570,,$5000 to 5999,,Not too happy,13570.0
3477,3477,22206,,$8000 to 9999,,Pretty happy,22206.0
3481,3481,30841,,$10000 - 14999,,Not too happy,30841.0
3484,3484,13570,,$5000 to 5999,,Very happy,13570.0
3485,3485,8636,,$3000 to 3999,,Very happy,8636.0
3486,3486,4935,,$1000 to 2999,,Pretty happy,4935.0
3487,3487,13570,,$5000 to 5999,,Pretty happy,13570.0
3489,3489,8636,,$3000 to 3999,,Pretty happy,8636.0
3490,3490,13570,,$5000 to 5999,,Very happy,13570.0
3491,3491,13570,,$5000 to 5999,,Pretty happy,13570.0
3493,3493,8636,,$3000 to 3999,,Very happy,8636.0
3494,3494,55515,,$20000 - 24999,,Very happy,55515.0
3495,3495,4935,,$1000 to 2999,48,Pretty happy,4935.0
3497,3497,8636,,$3000 to 3999,,Very happy,8636.0
3499,3499,8636,,$3000 to 3999,,Very happy,8636.0
3500,3500,22206,,$8000 to 9999,,Not too happy,22206.0
3504,3504,4935,,$1000 to 2999,,Pretty happy,4935.0
3505,3505,55515,,$20000 - 24999,,Pretty happy,55515.0
3506,3506,22206,,$8000 to 9999,,Pretty happy,22206.0
3507,3507,55515,,$20000 - 24999,40,Very happy,55515.0
3509,3509,43178,,$15000 - 19999,,Very happy,43178.0
3510,3510,22206,,$8000 to 9999,,Very happy,22206.0
3511,3511,4935,,$1000 to 2999,,Pretty happy,4935.0
3516,3516,55515,,$20000 - 24999,40,Very happy,55515.0
3518,3518,1234,,Lt $1000,,Not too happy,1234.0
3520,3520,4935,,$1000 to 2999,25,Very happy,4935.0
3521,3521,22206,,$8000 to 9999,,Pretty happy,22206.0
3524,3524,22206,,$8000 to 9999,,Very happy,22206.0
3525,3525,16038,,$6000 to 6999,,Pretty happy,16038.0
3526,3526,4935,,$1000 to 2999,,Pretty happy,4935.0
3529,3529,4935,,$1000 to 2999,,Very happy,4935.0
3530,3530,30841,,$10000 - 14999,,Not too happy,30841.0
3531,3531,18505,,$7000 to 7999,,Very happy,18505.0
3532,3532,22206,,$8000 to 9999,,Very happy,22206.0
3533,3533,11103,,$4000 to 4999,,Very happy,11103.0
3534,3534,16038,,$6000 to 6999,,Very happy,16038.0
3535,3535,11103,,$4000 to 4999,,Very happy,11103.0
3536,3536,43178,,$15000 - 19999,,Not too happy,43178.0
3539,3539,18505,,$7000 to 7999,,Pretty happy,18505.0
3540,3540,43178,,$15000 - 19999,,Pretty happy,43178.0
3541,3541,30841,,$10000 - 14999,,Pretty happy,30841.0
3543,3543,22206,,$8000 to 9999,,Pretty happy,22206.0
3544,3544,43178,,$15000 - 19999,,Pretty happy,43178.0
3545,3545,30841,,$10000 - 14999,,Very happy,30841.0
3546,3546,30841,,$10000 - 14999,,Not too happy,30841.0
3549,3549,18505,,$7000 to 7999,,Pretty happy,18505.0
3552,3552,22206,,$8000 to 9999,,Very happy,22206.0
3554,3554,11103,,$4000 to 4999,,Very happy,11103.0
3556,3556,30841,,$10000 - 14999,,Not too happy,30841.0
3559,3559,1234,,Lt $1000,,Pretty happy,1234.0
3560,3560,18505,,$7000 to 7999,,Pretty happy,18505.0
3561,3561,22206,,$8000 to 9999,,Pretty happy,22206.0
3563,3563,4935,,$1000 to 2999,,Not too happy,4935.0
3564,3564,30841,,$10000 - 14999,,Very happy,30841.0
3565,3565,1234,,Lt $1000,,Not too happy,1234.0
3568,3568,18505,,$7000 to 7999,37,Pretty happy,18505.0
3569,3569,22206,,$8000 to 9999,,Pretty happy,22206.0
3570,3570,13570,,$5000 to 5999,,Very happy,13570.0
3571,3571,4935,,$1000 to 2999,,Pretty happy,4935.0
3574,3574,8636,,$3000 to 3999,,Pretty happy,8636.0
3575,3575,11103,,$4000 to 4999,,Pretty happy,11103.0
3576,3576,96450,,$25000 or more,,Very happy,96450.0
3577,3577,96450,,$25000 or more,,Pretty happy,96450.0
3578,3578,8636,,$3000 to 3999,,Not too happy,8636.0
3579,3579,18505,,$7000 to 7999,,Very happy,18505.0
3580,3580,30841,,$10000 - 14999,,Pretty happy,30841.0
3581,3581,30841,,$10000 - 14999,,Pretty happy,30841.0
3582,3582,30841,,$10000 - 14999,,Pretty happy,30841.0
3585,3585,8636,,$3000 to 3999,,Pretty happy,8636.0
3586,3586,30841,,$10000 - 14999,,Pretty happy,30841.0
3587,3587,22206,,$8000 to 9999,,Pretty happy,22206.0
3590,3590,16038,,$6000 to 6999,,Very happy,16038.0
3591,3591,30841,,$10000 - 14999,,Not too happy,30841.0
3592,3592,55515,,$20000 - 24999,,Very happy,55515.0
3595,3595,4935,,$1000 to 2999,,Very happy,4935.0
3596,3596,43178,,$15000 - 19999,,Pretty happy,43178.0
3597,3597,30841,,$10000 - 14999,,Very happy,30841.0
3601,3601,30841,,$10000 - 14999,,Pretty happy,30841.0
3603,3603,30841,,$10000 - 14999,,Pretty happy,30841.0
3605,3605,30841,,$10000 - 14999,,Very happy,30841.0
3606,3606,22206,,$8000 to 9999,,Very happy,22206.0
3607,3607,30841,,$10000 - 14999,,Very happy,30841.0
3610,3610,11103,,$4000 to 4999,,Very happy,11103.0
3611,3611,1234,,Lt $1000,,Not too happy,1234.0
3612,3612,30841,,$10000 - 14999,,Not too happy,30841.0
3614,3614,4935,,$1000 to 2999,,Pretty happy,4935.0
3615,3615,4935,,$1000 to 2999,,Very happy,4935.0
3616,3616,18505,,$7000 to 7999,,Pretty happy,18505.0
3620,3620,13570,,$5000 to 5999,,Pretty happy,13570.0
3621,3621,43178,,$15000 - 19999,,Very happy,43178.0
3622,3622,30841,,$10000 - 14999,,Pretty happy,30841.0
3624,3624,18505,,$7000 to 7999,37,Not too happy,18505.0
3625,3625,4935,,$1000 to 2999,,Pretty happy,4935.0
3626,3626,30841,,$10000 - 14999,,Pretty happy,30841.0
3627,3627,43178,,$15000 - 19999,,Pretty happy,43178.0
3630,3630,11103,,$4000 to 4999,,Pretty happy,11103.0
3631,3631,8636,,$3000 to 3999,,Pretty happy,8636.0
3632,3632,18505,,$7000 to 7999,40,Very happy,18505.0
3633,3633,4935,,$1000 to 2999,,Very happy,4935.0
3635,3635,4935,,$1000 to 2999,,Very happy,4935.0
3636,3636,43178,,$15000 - 19999,,Very happy,43178.0
3637,3637,43178,,$15000 - 19999,,Pretty happy,43178.0
3638,3638,43178,,$15000 - 19999,,Very happy,43178.0
3640,3640,16038,,$6000 to 6999,,Pretty happy,16038.0
3641,3641,1234,,Lt $1000,,Not too happy,1234.0
3646,3646,43178,,$15000 - 19999,,Pretty happy,43178.0
3649,3649,16038,,$6000 to 6999,,Very happy,16038.0
3650,3650,1234,,Lt $1000,,Pretty happy,1234.0
3651,3651,4935,,$1000 to 2999,,Pretty happy,4935.0
3652,3652,96450,,$25000 or more,,Pretty happy,96450.0
3654,3654,11103,,$4000 to 4999,,Very happy,11103.0
3655,3655,30841,,$10000 - 14999,,Very happy,30841.0
3657,3657,18505,,$7000 to 7999,,Pretty happy,18505.0
3658,3658,22206,,$8000 to 9999,,Pretty happy,22206.0
3659,3659,13570,,$5000 to 5999,,Not too happy,13570.0
3660,3660,4935,,$1000 to 2999,,Pretty happy,4935.0
3661,3661,30841,,$10000 - 14999,,Pretty happy,30841.0
3665,3665,18505,,$7000 to 7999,,Pretty happy,18505.0
3666,3666,18505,,$7000 to 7999,,Pretty happy,18505.0
3667,3667,13570,,$5000 to 5999,,Not too happy,13570.0
3668,3668,96450,,$25000 or more,,Not too happy,96450.0
3670,3670,4935,,$1000 to 2999,,Pretty happy,4935.0
3671,3671,22206,,$8000 to 9999,,Pretty happy,22206.0
3672,3672,11103,,$4000 to 4999,,Very happy,11103.0
3674,3674,22206,,$8000 to 9999,,Not too happy,22206.0
3675,3675,30841,,$10000 - 14999,,Not too happy,30841.0
3676,3676,30841,,$10000 - 14999,,Very happy,30841.0
3677,3677,43178,,$15000 - 19999,,Pretty happy,43178.0
3678,3678,30841,,$10000 - 14999,,Very happy,30841.0
3679,3679,8636,,$3000 to 3999,,Pretty happy,8636.0
3680,3680,30841,,$10000 - 14999,,Very happy,30841.0
3681,3681,4935,,$1000 to 2999,,Very happy,4935.0
3683,3683,18505,,$7000 to 7999,,Pretty happy,18505.0
3684,3684,1234,,Lt $1000,,Pretty happy,1234.0
3688,3688,4935,,$1000 to 2999,,Very happy,4935.0
3689,3689,8636,,$3000 to 3999,,Very happy,8636.0
3690,3690,22206,,$8000 to 9999,,Pretty happy,22206.0
3692,3692,4935,,$1000 to 2999,,Very happy,4935.0
3693,3693,30841,,$10000 - 14999,,Very happy,30841.0
3694,3694,22206,,$8000 to 9999,,Very happy,22206.0
3698,3698,13570,,$5000 to 5999,,Pretty happy,13570.0
3699,3699,30841,,$10000 - 14999,,Very happy,30841.0
3700,3700,30841,,$10000 - 14999,,Pretty happy,30841.0
3701,3701,30841,,$10000 - 14999,,Pretty happy,30841.0
3703,3703,30841,,$10000 - 14999,,Very happy,30841.0
3704,3704,4935,,$1000 to 2999,,Pretty happy,4935.0
3705,3705,96450,,$25000 or more,,Pretty happy,96450.0
3707,3707,13570,,$5000 to 5999,,Pretty happy,13570.0
3708,3708,30841,,$10000 - 14999,,Very happy,30841.0
3709,3709,13570,,$5000 to 5999,,Not too happy,13570.0
3711,3711,1234,,Lt $1000,,Pretty happy,1234.0
3712,3712,4935,,$1000 to 2999,,Pretty happy,4935.0
3713,3713,22206,,$8000 to 9999,,Pretty happy,22206.0
3714,3714,30841,,$10000 - 14999,48,Not too happy,30841.0
3717,3717,1234,,Lt $1000,,Pretty happy,1234.0
3718,3718,43178,,$15000 - 19999,40,Pretty happy,43178.0
3719,3719,96450,,$25000 or more,40,Very happy,96450.0
3720,3720,1234,,Lt $1000,,Pretty happy,1234.0
3722,3722,11103,,$4000 to 4999,,Very happy,11103.0
3731,3731,4935,,$1000 to 2999,,Pretty happy,4935.0
3732,3732,11103,,$4000 to 4999,,Very happy,11103.0
3733,3733,4935,,$1000 to 2999,,Not too happy,4935.0
3737,3737,30841,,$10000 - 14999,,Pretty happy,30841.0
3738,3738,1234,,Lt $1000,,Pretty happy,1234.0
3739,3739,30841,,$10000 - 14999,,Very happy,30841.0
3740,3740,1234,,Lt $1000,,Pretty happy,1234.0
3742,3742,13570,,$5000 to 5999,40,Not too happy,13570.0
3743,3743,30841,,$10000 - 14999,,Pretty happy,30841.0
3744,3744,18505,,$7000 to 7999,40,Not too happy,18505.0
3747,3747,8636,,$3000 to 3999,,Pretty happy,8636.0
3748,3748,4935,,$1000 to 2999,,Not too happy,4935.0
3749,3749,30841,,$10000 - 14999,,Not too happy,30841.0
3750,3750,43178,,$15000 - 19999,,Very happy,43178.0
3752,3752,11103,,$4000 to 4999,,Very happy,11103.0
3753,3753,30841,,$10000 - 14999,,Pretty happy,30841.0
3757,3757,11103,,$4000 to 4999,,Very happy,11103.0
3758,3758,30841,,$10000 - 14999,,Pretty happy,30841.0
3760,3760,30841,,$10000 - 14999,,Pretty happy,30841.0
3763,3763,8636,,$3000 to 3999,,Pretty happy,8636.0
3764,3764,30841,,$10000 - 14999,,Very happy,30841.0
3765,3765,30841,,$10000 - 14999,,Not too happy,30841.0
3767,3767,13570,,$5000 to 5999,,Pretty happy,13570.0
3768,3768,30841,,$10000 - 14999,,Not too happy,30841.0
3772,3772,8636,,$3000 to 3999,,Not too happy,8636.0
3774,3774,16038,,$6000 to 6999,,Pretty happy,16038.0
3776,3776,4935,,$1000 to 2999,,Pretty happy,4935.0
3778,3778,4935,,$1000 to 2999,,Not too happy,4935.0
3780,3780,30841,,$10000 - 14999,,Very happy,30841.0
3781,3781,11103,,$4000 to 4999,40,Pretty happy,11103.0
3782,3782,11103,,$4000 to 4999,,Pretty happy,11103.0
3784,3784,4935,,$1000 to 2999,,Very happy,4935.0
3785,3785,11103,,$4000 to 4999,,Pretty happy,11103.0
3786,3786,11103,,$4000 to 4999,40,Very happy,11103.0
3787,3787,1234,,Lt $1000,,Pretty happy,1234.0
3791,3791,43178,,$15000 - 19999,,Pretty happy,43178.0
3795,3795,22206,,$8000 to 9999,,Very happy,22206.0
3796,3796,4935,,$1000 to 2999,,Very happy,4935.0
3800,3800,11103,,$4000 to 4999,,Pretty happy,11103.0
3801,3801,22206,,$8000 to 9999,,Not too happy,22206.0
3803,3803,8636,,$3000 to 3999,,Pretty happy,8636.0
3804,3804,1234,,Lt $1000,,Very happy,1234.0
3805,3805,1234,,Lt $1000,,Pretty happy,1234.0
3806,3806,22206,,$8000 to 9999,,Very happy,22206.0
3807,3807,22206,,$8000 to 9999,,Pretty happy,22206.0
3808,3808,18505,,$7000 to 7999,,Pretty happy,18505.0
3809,3809,55515,,$20000 - 24999,,Very happy,55515.0
3811,3811,16038,,$6000 to 6999,,Not too happy,16038.0
3812,3812,11103,,$4000 to 4999,,Pretty happy,11103.0
3815,3815,8636,,$3000 to 3999,,Pretty happy,8636.0
3816,3816,11103,,$4000 to 4999,,Not too happy,11103.0
3818,3818,18505,,$7000 to 7999,,Very happy,18505.0
3820,3820,4935,,$1000 to 2999,20,Pretty happy,4935.0
3821,3821,16038,,$6000 to 6999,,Pretty happy,16038.0
3822,3822,30841,,$10000 - 14999,,Pretty happy,30841.0
3825,3825,13570,,$5000 to 5999,,Pretty happy,13570.0
3828,3828,4935,,$1000 to 2999,,Pretty happy,4935.0
3830,3830,18505,,$7000 to 7999,,Not too happy,18505.0
3831,3831,43178,,$15000 - 19999,,Very happy,43178.0
3832,3832,22206,,$8000 to 9999,,Not too happy,22206.0
3834,3834,8636,,$3000 to 3999,,Pretty happy,8636.0
3835,3835,11103,,$4000 to 4999,,Very happy,11103.0
3836,3836,11103,,$4000 to 4999,,Pretty happy,11103.0
3837,3837,18505,,$7000 to 7999,40,Pretty happy,18505.0
3839,3839,11103,,$4000 to 4999,,Pretty happy,11103.0
3840,3840,13570,,$5000 to 5999,,Pretty happy,13570.0
3842,3842,30841,,$10000 - 14999,,Pretty happy,30841.0
3843,3843,55515,,$20000 - 24999,,Very happy,55515.0
3846,3846,22206,,$8000 to 9999,,Pretty happy,22206.0
3847,3847,30841,,$10000 - 14999,,Pretty happy,30841.0
3850,3850,13570,,$5000 to 5999,,Pretty happy,13570.0
3853,3853,4935,,$1000 to 2999,,Not too happy,4935.0
3854,3854,1234,,Lt $1000,,Very happy,1234.0
3855,3855,1234,,Lt $1000,,Very happy,1234.0
3856,3856,30841,,$10000 - 14999,,Not too happy,30841.0
3857,3857,30841,,$10000 - 14999,,Pretty happy,30841.0
3860,3860,13570,,$5000 to 5999,,Pretty happy,13570.0
3861,3861,22206,,$8000 to 9999,40,Very happy,22206.0
3862,3862,18505,,$7000 to 7999,,Very happy,18505.0
3863,3863,13570,,$5000 to 5999,,Not too happy,13570.0
3865,3865,11103,,$4000 to 4999,,Pretty happy,11103.0
3866,3866,18505,,$7000 to 7999,,Pretty happy,18505.0
3867,3867,30841,,$10000 - 14999,,Pretty happy,30841.0
3868,3868,30841,,$10000 - 14999,,Pretty happy,30841.0
3870,3870,11103,,$4000 to 4999,,Pretty happy,11103.0
3871,3871,30841,,$10000 - 14999,,Pretty happy,30841.0
3872,3872,30841,,$10000 - 14999,,Very happy,30841.0
3873,3873,22206,,$8000 to 9999,,Pretty happy,22206.0
3875,3875,22206,,$8000 to 9999,,Pretty happy,22206.0
3876,3876,30841,,$10000 - 14999,,Pretty happy,30841.0
3880,3880,4935,,$1000 to 2999,,Very happy,4935.0
3881,3881,18505,,$7000 to 7999,,Pretty happy,18505.0
3885,3885,1234,,Lt $1000,,Very happy,1234.0
3886,3886,16038,,$6000 to 6999,,Not too happy,16038.0
3887,3887,55515,,$20000 - 24999,,Pretty happy,55515.0
3890,3890,18505,,$7000 to 7999,,Pretty happy,18505.0
