,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
60572,60572,0,1,1,0,30,0,30,2016.0,Not too happy,0,8
60575,60575,5,3,7,4,0,8,0,2016.0,Pretty happy,48,100
60581,60581,80,5,2,15,0,10,0,2016.0,Pretty happy,80,99
60594,60594,1,15,1,0,0,0,0,2016.0,Pretty happy,0,22
60601,60601,4,1,1,0,30,0,30,2016.0,Pretty happy,0,8
60603,60603,5,1,3,1,0,1,0,2016.0,Not too happy,7,29
60606,60606,10,15,2,20,0,20,0,2016.0,Pretty happy,140,169
60608,60608,20,5,1,2,0,1,30,2016.0,Pretty happy,9,21
60611,60611,10,2,0,1,0,1,0,2016.0,Pretty happy,7,9
60614,60614,4,4,1,2,0,2,0,2016.0,Very happy,14,25
60617,60617,85,40,0,24,0,13,30,2016.0,Not too happy,113,153
60619,60619,5,8,1,1,0,2,0,2016.0,Pretty happy,12,27
60620,60620,168,0,5,20,0,20,0,2016.0,Not too happy,140,175
60623,60623,3,12,1,1,0,0,30,2016.0,Very happy,2,21
60625,60625,35,20,5,8,0,3,0,2016.0,Pretty happy,31,86
60627,60627,5,2,0,5,0,5,0,2016.0,Not too happy,35,37
60631,60631,8,20,2,1,0,1,0,2016.0,Pretty happy,7,41
60634,60634,40,10,1,15,0,24,0,2016.0,Very happy,150,167
60636,60636,16,5,0,3,0,4,0,2016.0,Very happy,26,31
60639,60639,4,2,0,3,0,1,30,2016.0,Pretty happy,11,13
60641,60641,8,2,3,1,0,8,0,2016.0,Very happy,42,65
60646,60646,60,8,1,9,0,9,0,2016.0,Pretty happy,63,78
60655,60655,7,30,2,1,0,1,0,2016.0,Pretty happy,7,51
60659,60659,20,10,2,5,0,5,0,2016.0,Pretty happy,35,59
60679,60679,21,2,5,8,0,15,0,2016.0,Pretty happy,91,128
60685,60685,1,1,3,0,15,0,15,2016.0,Pretty happy,0,22
60691,60691,12,0,4,2,30,1,30,2016.0,Very happy,9,37
60692,60692,40,1,5,8,0,8,0,2016.0,Very happy,56,92
60696,60696,40,1,0,5,0,6,0,2016.0,Very happy,40,41
60714,60714,6,2,4,1,0,2,0,2016.0,Pretty happy,12,42
60717,60717,4,2,2,0,10,0,10,2016.0,Very happy,0,16
60722,60722,15,2,1,5,0,4,0,2016.0,Pretty happy,30,39
60725,60725,6,1,3,1,0,1,0,2016.0,Very happy,7,29
60733,60733,7,1,0,4,0,2,0,2016.0,Very happy,18,19
60741,60741,2,1,2,2,0,2,0,2016.0,Not too happy,14,29
60746,60746,0,0,1,0,20,0,20,2016.0,Very happy,0,7
60750,60750,35,5,3,1,0,9,0,2016.0,Pretty happy,47,73
60752,60752,1,1,8,1,0,1,0,2016.0,Pretty happy,7,64
60754,60754,30,40,0,12,0,12,0,2016.0,Pretty happy,84,124
60759,60759,1,7,0,3,0,1,0,2016.0,Very happy,11,18
60762,60762,5,5,1,2,0,4,0,2016.0,Pretty happy,24,36
60765,60765,40,1,2,10,0,24,0,2016.0,Very happy,140,155
60767,60767,15,2,1,2,0,3,0,2016.0,Very happy,19,28
60780,60780,15,15,8,3,0,4,0,2016.0,Pretty happy,26,97
60789,60789,2,1,4,2,0,1,0,2016.0,Not too happy,9,38
60803,60803,12,2,1,1,0,1,0,2016.0,Pretty happy,7,16
60806,60806,0,0,4,0,30,0,30,2016.0,Very happy,0,28
60809,60809,5,20,2,5,0,5,0,2016.0,Pretty happy,35,69
60814,60814,1,0,4,0,10,0,15,2016.0,Pretty happy,0,28
60816,60816,37,0,2,2,0,4,0,2016.0,Pretty happy,24,38
60823,60823,11,2,1,1,0,1,0,2016.0,Very happy,7,16
60827,60827,13,1,2,2,0,2,0,2016.0,Not too happy,14,29
60829,60829,0,1,2,2,0,2,0,2016.0,Pretty happy,14,29
60831,60831,2,0,6,2,0,2,0,2016.0,Pretty happy,14,56
60836,60836,10,1,1,2,0,0,30,2016.0,Not too happy,4,12
60840,60840,45,2,3,6,0,1,0,2016.0,Pretty happy,17,40
60845,60845,20,1,6,6,30,5,0,2016.0,Very happy,37,80
60848,60848,25,10,3,2,0,4,0,2016.0,Pretty happy,24,55
60849,60849,15,20,1,4,0,8,0,2016.0,Pretty happy,48,75
60851,60851,5,4,2,0,20,0,45,2016.0,Pretty happy,0,18
60854,60854,15,25,1,2,0,1,0,2016.0,Pretty happy,9,41
60856,60856,30,35,2,1,0,1,0,2016.0,Very happy,7,56
60865,60865,3,1,1,2,0,1,0,2016.0,Very happy,9,17
60870,60870,30,5,1,2,0,8,0,2016.0,Very happy,44,56
60872,60872,20,48,2,5,0,5,0,2016.0,Pretty happy,35,97
60880,60880,10,6,0,3,0,2,0,2016.0,Pretty happy,16,22
60883,60883,20,20,0,2,0,0,30,2016.0,Pretty happy,4,24
60894,60894,25,25,1,3,0,2,0,2016.0,Pretty happy,16,48
60897,60897,5,1,1,1,0,2,0,2016.0,Pretty happy,12,20
60900,60900,48,2,3,1,0,3,0,2016.0,Pretty happy,17,40
60926,60926,20,20,1,4,0,2,0,2016.0,Pretty happy,18,45
60929,60929,2,3,1,0,30,0,30,2016.0,Very happy,0,10
60931,60931,20,20,0,1,0,1,0,2016.0,Pretty happy,7,27
60936,60936,15,20,2,0,15,0,30,2016.0,Pretty happy,0,34
60938,60938,9,10,2,2,0,1,0,2016.0,Pretty happy,9,33
60941,60941,25,0,0,7,0,7,0,2016.0,Pretty happy,49,49
60943,60943,2,1,2,1,0,1,0,2016.0,Pretty happy,7,22
60951,60951,1,4,1,1,0,1,0,2016.0,Pretty happy,7,18
60952,60952,3,1,1,3,0,2,0,2016.0,Pretty happy,16,24
60961,60961,1,2,2,0,0,0,10,2016.0,Very happy,0,16
60967,60967,24,1,3,2,0,4,0,2016.0,Pretty happy,24,46
60970,60970,14,0,2,1,30,1,30,2016.0,Not too happy,7,21
60973,60973,2,12,2,2,0,0,30,2016.0,Pretty happy,4,30
60976,60976,5,2,2,2,0,6,0,2016.0,Pretty happy,34,50
60978,60978,80,7,0,6,0,24,0,2016.0,Very happy,132,139
60981,60981,5,5,0,1,0,2,0,2016.0,Very happy,12,17
60984,60984,8,0,3,3,0,1,0,2016.0,Very happy,11,32
60985,60985,3,0,0,0,20,0,20,2016.0,Pretty happy,0,0
60997,60997,0,0,2,1,0,1,0,2016.0,Not too happy,7,21
61006,61006,20,3,0,3,0,2,0,2016.0,Not too happy,16,19
61010,61010,3,10,6,1,0,1,0,2016.0,Very happy,7,59
61019,61019,10,40,2,2,0,8,0,2016.0,Very happy,44,98
61023,61023,10,20,1,1,0,1,0,2016.0,Very happy,7,34
61029,61029,15,3,0,3,0,3,0,2016.0,Pretty happy,21,24
61037,61037,10,3,2,2,0,2,0,2016.0,Very happy,14,31
61038,61038,3,5,2,0,30,0,30,2016.0,Pretty happy,0,19
