,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
61917,61917,10,7,1,4,0,2,0,2016.0,Pretty happy,18,32
61919,61919,12,2,2,12,0,1,0,2016.0,Pretty happy,29,45
61925,61925,0,1,5,1,0,1,0,2016.0,Pretty happy,7,43
61934,61934,7,1,1,1,0,1,0,2016.0,Pretty happy,7,15
61944,61944,1,4,2,0,50,0,55,2016.0,Pretty happy,0,18
61946,61946,5,2,0,2,0,2,0,2016.0,Very happy,14,16
61948,61948,5,4,3,1,0,1,0,2016.0,Pretty happy,7,32
61950,61950,10,50,2,0,30,0,30,2016.0,Pretty happy,0,64
61952,61952,15,25,3,4,0,4,0,2016.0,Pretty happy,28,74
61956,61956,2,2,2,1,0,0,30,2016.0,Pretty happy,2,18
61960,61960,15,15,2,0,20,3,0,2016.0,Very happy,15,44
61968,61968,3,0,7,2,0,10,0,2016.0,Pretty happy,54,103
61972,61972,0,0,4,8,0,16,0,2016.0,Very happy,96,124
61975,61975,10,0,4,4,0,2,0,2016.0,Not too happy,18,46
61976,61976,5,1,1,3,0,0,30,2016.0,Pretty happy,6,14
61978,61978,15,20,1,1,0,1,0,2016.0,Pretty happy,7,34
61981,61981,30,5,2,1,0,2,0,2016.0,Pretty happy,12,31
61986,61986,0,1,3,0,10,0,10,2016.0,Pretty happy,0,22
61991,61991,15,10,1,2,0,2,0,2016.0,Pretty happy,14,31
61994,61994,2,0,12,0,0,1,0,2016.0,Pretty happy,5,89
61999,61999,6,3,0,5,0,3,0,2016.0,Not too happy,25,28
62011,62011,3,1,2,3,0,3,0,2016.0,Very happy,21,36
62012,62012,2,0,2,0,20,0,20,2016.0,Not too happy,0,14
62017,62017,7,1,1,1,0,1,0,2016.0,Pretty happy,7,15
62022,62022,24,48,4,5,0,4,0,2016.0,Not too happy,30,106
62026,62026,7,30,4,2,0,1,0,2016.0,Pretty happy,9,67
62029,62029,20,20,2,4,0,4,0,2016.0,Very happy,28,62
62035,62035,10,5,1,3,0,3,0,2016.0,Pretty happy,21,33
62040,62040,5,3,1,0,45,0,45,2016.0,Very happy,0,10
62045,62045,12,3,1,3,0,2,0,2016.0,Pretty happy,16,26
62047,62047,30,1,3,2,0,2,0,2016.0,Pretty happy,14,36
62052,62052,12,0,10,2,0,2,0,2016.0,Pretty happy,14,84
62056,62056,5,20,2,1,0,1,0,2016.0,Very happy,7,41
62058,62058,20,0,5,1,0,3,0,2016.0,Pretty happy,17,52
62059,62059,1,0,2,0,30,0,30,2016.0,Very happy,0,14
62061,62061,2,4,1,1,0,1,0,2016.0,Very happy,7,18
62070,62070,10,10,1,1,0,1,0,2016.0,Pretty happy,7,24
62072,62072,21,1,0,3,0,3,0,2016.0,Pretty happy,21,22
62076,62076,15,25,1,4,0,7,0,2016.0,Pretty happy,43,75
62096,62096,8,0,0,2,0,1,0,2016.0,Very happy,9,9
62098,62098,2,0,1,2,0,2,0,2016.0,Pretty happy,14,21
62105,62105,120,0,12,2,0,1,0,2016.0,Very happy,9,93
62110,62110,20,0,1,4,0,4,0,2016.0,Very happy,28,35
62113,62113,1,0,3,8,0,4,0,2016.0,Pretty happy,36,57
62116,62116,10,0,2,1,0,1,0,2016.0,Pretty happy,7,21
62120,62120,10,0,4,4,0,3,0,2016.0,Very happy,23,51
62124,62124,15,50,1,3,0,5,0,2016.0,Pretty happy,31,88
62128,62128,42,1,4,4,0,2,0,2016.0,Pretty happy,18,47
62129,62129,4,0,2,3,0,3,0,2016.0,Pretty happy,21,35
62134,62134,10,10,0,0,30,5,0,2016.0,Pretty happy,25,35
62136,62136,6,25,3,1,0,1,0,2016.0,Very happy,7,53
62149,62149,2,6,2,1,0,1,0,2016.0,Not too happy,7,27
62155,62155,40,2,3,5,0,5,0,2016.0,Pretty happy,35,58
62160,62160,10,15,2,24,0,24,0,2016.0,Very happy,168,197
62166,62166,5,0,4,4,0,2,0,2016.0,Pretty happy,18,46
62170,62170,6,2,1,1,0,1,0,2016.0,Not too happy,7,16
62171,62171,15,4,2,4,0,4,0,2016.0,Pretty happy,28,46
62174,62174,5,1,0,0,20,0,45,2016.0,Pretty happy,0,1
62178,62178,10,16,1,1,0,8,0,2016.0,Pretty happy,42,65
62180,62180,1,1,3,2,0,1,0,2016.0,Very happy,9,31
62181,62181,6,1,1,1,0,1,0,2016.0,Very happy,7,15
62189,62189,7,0,3,2,0,1,0,2016.0,Pretty happy,9,30
62196,62196,8,0,3,0,40,0,40,2016.0,Very happy,0,21
62197,62197,3,2,4,3,0,1,0,2016.0,Pretty happy,11,41
62200,62200,1,0,3,1,0,1,0,2016.0,Pretty happy,7,28
62207,62207,21,1,2,1,0,2,0,2016.0,Pretty happy,12,27
62208,62208,10,0,3,2,0,2,0,2016.0,Very happy,14,35
62217,62217,25,1,4,14,0,14,0,2016.0,Not too happy,98,127
62223,62223,1,1,4,5,0,1,0,2016.0,Pretty happy,15,44
62225,62225,2,3,3,1,0,2,0,2016.0,Pretty happy,12,36
62230,62230,3,1,2,3,0,1,0,2016.0,Pretty happy,11,26
62233,62233,25,0,2,2,0,3,0,2016.0,Pretty happy,19,33
62235,62235,10,1,2,3,0,2,0,2016.0,Very happy,16,31
62238,62238,10,1,2,3,0,2,0,2016.0,Very happy,16,31
62239,62239,21,12,2,5,0,5,0,2016.0,Pretty happy,35,61
62240,62240,2,1,5,1,0,1,0,2016.0,Not too happy,7,43
62243,62243,7,0,2,1,0,1,0,2016.0,Pretty happy,7,21
62245,62245,0,1,4,5,0,5,0,2016.0,Pretty happy,35,64
62249,62249,20,30,5,4,0,6,0,2016.0,Not too happy,38,103
62252,62252,1,1,2,1,0,1,0,2016.0,Pretty happy,7,22
62258,62258,20,5,5,1,30,3,0,2016.0,Pretty happy,17,57
62261,62261,0,1,6,0,30,0,30,2016.0,Very happy,0,43
62265,62265,6,2,1,2,0,1,0,2016.0,Very happy,9,18
62269,62269,5,2,3,4,0,3,0,2016.0,Pretty happy,23,46
62271,62271,35,0,4,5,0,5,0,2016.0,Not too happy,35,63
62276,62276,0,0,2,0,20,0,20,2016.0,Pretty happy,0,14
62280,62280,5,0,1,1,0,1,0,2016.0,Very happy,7,14
62286,62286,7,2,1,2,0,1,0,2016.0,Pretty happy,9,18
62293,62293,10,5,2,3,0,2,0,2016.0,Pretty happy,16,35
62296,62296,15,12,2,1,0,2,0,2016.0,Pretty happy,12,38
62299,62299,40,30,2,2,0,2,0,2016.0,Very happy,14,58
62305,62305,20,40,3,2,0,2,0,2016.0,Pretty happy,14,75
62308,62308,20,1,0,6,0,6,0,2016.0,Pretty happy,42,43
62311,62311,4,3,0,4,0,4,0,2016.0,Not too happy,28,31
62314,62314,30,20,2,3,0,3,0,2016.0,Pretty happy,21,55
62330,62330,0,0,8,1,0,1,0,2016.0,Not too happy,7,63
62339,62339,14,2,3,1,0,1,0,2016.0,Pretty happy,7,30
62345,62345,5,5,3,0,0,0,0,2016.0,Very happy,0,26
62349,62349,4,1,2,3,0,2,0,2016.0,Very happy,16,31
62352,62352,10,4,1,2,0,2,0,2016.0,Pretty happy,14,25
62353,62353,5,0,5,0,5,0,5,2016.0,Pretty happy,0,35
62361,62361,25,8,4,20,0,5,0,2016.0,Not too happy,65,101
62368,62368,24,2,9,1,30,1,30,2016.0,Pretty happy,7,72
62374,62374,5,30,2,1,30,0,30,2016.0,Very happy,2,46
62389,62389,10,4,3,4,0,4,0,2016.0,Not too happy,28,53
62399,62399,0,1,1,2,0,2,0,2016.0,Very happy,14,22
62414,62414,20,40,2,1,0,8,0,2016.0,Pretty happy,42,96
62425,62425,0,0,3,5,0,3,0,2016.0,Pretty happy,25,46
62428,62428,3,4,2,0,30,0,30,2016.0,Very happy,0,18
62429,62429,2,1,3,0,30,0,30,2016.0,Pretty happy,0,22
62437,62437,30,20,2,2,0,2,0,2016.0,Pretty happy,14,48
62438,62438,14,8,2,3,0,2,0,2016.0,Pretty happy,16,38
62451,62451,5,20,3,0,30,1,0,2016.0,Very happy,5,46
62454,62454,10,5,1,4,0,2,0,2016.0,Pretty happy,18,30
62456,62456,21,12,6,2,0,2,0,2016.0,Pretty happy,14,68
62461,62461,28,20,2,2,0,9,0,2016.0,Pretty happy,49,83
