,index,Spend evening with siblings,Spend evening with relatives,Spend evening with neighbor,Spend evening with parents,Spend evening with friends,Spend evening at bar,General happiness,siblings,relatives,neighbor,parents,friends,social_score
9472,9472,Sev times a mnth,Sev times a mnth,Never,Sev times a mnth,Never,Never,Pretty happy,5,5,1,5,1,17
9473,9473,Sev times a week,Sev times a mnth,Once a month,Sev times a week,Once a month,Once a month,Pretty happy,6,5,3,6,3,23
9474,9474,No such people,Sev times a mnth,Never,No such people,Sev times a week,Sev times a year,Not too happy,0,5,1,0,6,12
9475,9475,Sev times a year,Sev times a year,Sev times a year,No such people,Never,Never,Very happy,4,4,4,0,1,13
9476,9476,Almost daily,Almost daily,Sev times a week,No such people,Sev times a year,Sev times a week,Not too happy,7,7,6,0,4,24
9477,9477,Almost daily,Almost daily,Almost daily,Almost daily,Never,Never,Pretty happy,7,7,7,7,1,29
9478,9478,Sev times a year,Sev times a week,Never,No such people,Sev times a mnth,Never,Pretty happy,4,6,1,0,5,16
9479,9479,Sev times a week,Sev times a mnth,Once a year,No such people,Sev times a year,Never,Pretty happy,6,5,2,0,4,17
9480,9480,Sev times a year,Sev times a mnth,Sev times a week,Sev times a year,Once a month,Once a year,Pretty happy,4,5,6,4,3,22
9481,9481,Sev times a mnth,Sev times a mnth,Never,Sev times a mnth,Once a year,Never,Pretty happy,5,5,1,5,2,18
9482,9482,Once a year,Sev times a mnth,Never,Once a year,Never,Never,Very happy,2,5,1,2,1,11
9483,9483,Sev times a year,Sev times a year,Once a month,Never,Once a year,Never,Very happy,4,4,3,1,2,14
9484,9484,Sev times a year,Sev times a year,Never,Sev times a year,Sev times a year,Never,Pretty happy,4,4,1,4,4,17
9485,9485,Once a year,Once a year,Once a year,Once a year,Once a month,Sev times a week,Very happy,2,2,2,2,3,11
9486,9486,Never,Sev times a mnth,Sev times a week,Sev times a mnth,Once a year,Never,Pretty happy,1,5,6,5,2,19
9487,9487,Once a month,Sev times a mnth,Never,Once a month,Once a year,Sev times a year,Very happy,3,5,1,3,2,14
9488,9488,Once a year,Once a month,Never,Once a month,Sev times a week,Never,Pretty happy,2,3,1,3,6,15
9489,9489,Once a year,Sev times a year,Never,Sev times a year,Never,Never,Pretty happy,2,4,1,4,1,12
9490,9490,No such people,Sev times a mnth,Sev times a mnth,No such people,Once a year,Sev times a week,Very happy,0,5,5,0,2,12
9491,9491,Sev times a year,Sev times a week,Once a month,Sev times a year,Sev times a mnth,Once a year,Very happy,4,6,3,4,5,22
9492,9492,Once a month,Once a month,Never,Sev times a week,Sev times a mnth,Never,Pretty happy,3,3,1,6,5,18
9493,9493,Sev times a mnth,Sev times a mnth,Never,Once a month,Sev times a year,Sev times a year,Very happy,5,5,1,3,4,18
9494,9494,No such people,Sev times a week,Sev times a week,No such people,Sev times a week,Once a month,Very happy,0,6,6,0,6,18
9495,9495,Sev times a year,Once a month,Sev times a week,Sev times a year,Once a month,Once a month,Very happy,4,3,6,4,3,20
9496,9496,Once a year,Once a year,Sev times a year,No such people,Never,Never,Not too happy,2,2,4,0,1,9
9497,9497,Sev times a year,Sev times a year,Never,Once a month,Sev times a year,Never,Pretty happy,4,4,1,3,4,16
9498,9498,Sev times a week,Sev times a mnth,Once a year,No such people,Sev times a year,Never,Very happy,6,5,2,0,4,17
9499,9499,Sev times a week,Sev times a mnth,Once a month,Once a month,Sev times a year,Never,Very happy,6,5,3,3,4,21
