,index,Spend evening with siblings,Spend evening with relatives,Spend evening with neighbor,Spend evening with parents,Spend evening with friends,Spend evening at bar,General happiness,siblings,relatives,neighbor,parents,friends,social_score
9653,9653,Sev times a week,Sev times a week,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a year,Pretty happy,6,6,5,6,5,28
9654,9654,Sev times a week,Once a month,Never,No such people,Sev times a week,Never,Very happy,6,3,1,0,6,16
9655,9655,Once a year,Sev times a year,Sev times a week,Once a year,Sev times a week,Once a month,Pretty happy,2,4,6,2,6,20
9656,9656,Never,Sev times a year,Sev times a year,No such people,Once a year,Never,Not too happy,1,4,4,0,2,11
9657,9657,Sev times a year,Sev times a mnth,Never,Sev times a mnth,Sev times a week,Sev times a mnth,Very happy,4,5,1,5,6,21
9658,9658,No such people,Sev times a year,Sev times a week,No such people,Sev times a week,Never,Pretty happy,0,4,6,0,6,16
9659,9659,Sev times a year,Sev times a week,Sev times a week,Sev times a mnth,Sev times a year,Sev times a week,Pretty happy,4,6,6,5,4,25
9660,9660,Once a year,Sev times a year,Sev times a mnth,Sev times a year,Sev times a week,Sev times a year,Very happy,2,4,5,4,6,21
9661,9661,Once a month,Sev times a week,Never,No such people,Sev times a week,Never,Pretty happy,3,6,1,0,6,16
9662,9662,Sev times a year,Sev times a year,Sev times a week,Sev times a year,Sev times a year,Sev times a year,Pretty happy,4,4,6,4,4,22
9663,9663,Sev times a year,Once a month,Sev times a year,No such people,Sev times a year,Never,Pretty happy,4,3,4,0,4,15
9664,9664,Once a year,Sev times a mnth,Once a month,Once a month,Sev times a year,Once a year,Very happy,2,5,3,3,4,17
9665,9665,Sev times a year,Sev times a mnth,Sev times a year,Sev times a year,Sev times a year,Sev times a mnth,Pretty happy,4,5,4,4,4,21
9666,9666,Sev times a year,Sev times a mnth,Sev times a mnth,No such people,Sev times a year,Never,Not too happy,4,5,5,0,4,18
9667,9667,Sev times a year,Sev times a week,Sev times a year,Sev times a week,Sev times a mnth,Sev times a mnth,Pretty happy,4,6,4,6,5,25
9668,9668,Once a month,Once a month,Never,Once a month,Never,Never,Pretty happy,3,3,1,3,1,11
9669,9669,Sev times a year,Sev times a mnth,Sev times a year,Sev times a year,Sev times a year,Never,Pretty happy,4,5,4,4,4,21
9670,9670,Never,Sev times a week,Never,No such people,Sev times a week,Never,Pretty happy,1,6,1,0,6,14
9671,9671,Sev times a year,Sev times a mnth,Never,Never,Never,Never,Not too happy,4,5,1,1,1,12
9672,9672,Sev times a mnth,Sev times a week,Once a year,Sev times a week,Sev times a week,Never,Pretty happy,5,6,2,6,6,25
9673,9673,Sev times a week,Once a month,Never,Once a month,Sev times a week,Never,Very happy,6,3,1,3,6,19
9674,9674,Once a year,Once a year,Once a year,Once a year,Sev times a year,Never,Pretty happy,2,2,2,2,4,12
9675,9675,Sev times a mnth,Once a month,Never,Sev times a mnth,Never,Never,Pretty happy,5,3,1,5,1,15
9676,9676,Sev times a year,Sev times a mnth,Never,Sev times a mnth,Never,Once a year,Very happy,4,5,1,5,1,16
9677,9677,Once a year,Sev times a year,Once a year,Sev times a year,Once a year,Never,Pretty happy,2,4,2,4,2,14
9678,9678,Sev times a mnth,Sev times a week,Sev times a mnth,No such people,Once a month,Sev times a year,Not too happy,5,6,5,0,3,19
9679,9679,Sev times a mnth,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a year,Never,Very happy,5,5,6,5,4,25
9680,9680,Sev times a week,Sev times a week,Sev times a year,Sev times a week,Sev times a mnth,Once a year,Very happy,6,6,4,6,5,27
9681,9681,Sev times a year,Sev times a week,Sev times a mnth,Sev times a year,Sev times a week,,Pretty happy,4,6,5,4,6,25
9682,9682,Sev times a week,Sev times a week,Almost daily,Sev times a week,Sev times a mnth,Sev times a week,Not too happy,6,6,7,6,5,30
9683,9683,Once a year,Sev times a week,Sev times a week,Sev times a week,Once a year,Never,Very happy,2,6,6,6,2,22
9684,9684,Sev times a year,Sev times a year,Sev times a year,No such people,Sev times a year,Once a year,Pretty happy,4,4,4,0,4,16
9685,9685,Sev times a mnth,Sev times a week,Never,Sev times a year,Sev times a year,Never,Very happy,5,6,1,4,4,20
9686,9686,Sev times a week,Sev times a mnth,Sev times a mnth,No such people,Once a year,Never,Very happy,6,5,5,0,2,18
9687,9687,Once a year,Sev times a mnth,Sev times a mnth,Once a year,Sev times a mnth,Once a year,Pretty happy,2,5,5,2,5,19
9688,9688,Sev times a week,Sev times a week,Sev times a week,Sev times a week,Once a year,Never,Very happy,6,6,6,6,2,26
9689,9689,Sev times a week,Almost daily,Sev times a mnth,Sev times a week,Sev times a week,Sev times a mnth,Not too happy,6,7,5,6,6,30
9690,9690,Once a year,Sev times a week,Once a year,No such people,Never,Never,Pretty happy,2,6,2,0,1,11
9691,9691,Sev times a year,Once a year,Never,No such people,Once a year,Never,Not too happy,4,2,1,0,2,9
9692,9692,Once a year,Sev times a year,Sev times a week,No such people,Sev times a year,Never,Pretty happy,2,4,6,0,4,16
9693,9693,Sev times a year,Sev times a year,Sev times a week,Sev times a year,Sev times a mnth,Never,Pretty happy,4,4,6,4,5,23
9694,9694,Once a year,Sev times a mnth,Sev times a year,Sev times a mnth,Sev times a mnth,Never,Pretty happy,2,5,4,5,5,21
9695,9695,No such people,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Never,Pretty happy,0,4,4,4,4,16
9696,9696,Once a year,Once a year,Never,Once a year,Sev times a year,Never,Not too happy,2,2,1,2,4,11
9697,9697,Once a year,Once a year,Never,No such people,Once a year,Never,Not too happy,2,2,1,0,2,7
9698,9698,Sev times a mnth,Once a month,Once a year,No such people,Never,Never,Pretty happy,5,3,2,0,1,11
9699,9699,Never,Never,Never,No such people,Never,Never,Pretty happy,1,1,1,0,1,4
9700,9700,Sev times a week,Sev times a week,Don't know,Sev times a week,Never,Never,Pretty happy,6,6,0,6,1,19
9701,9701,Never,Sev times a week,Never,Never,Sev times a mnth,Never,Very happy,1,6,1,1,5,14
9702,9702,Sev times a year,Sev times a year,Sev times a mnth,No such people,Sev times a year,Never,Very happy,4,4,5,0,4,17
9703,9703,No such people,Once a month,Once a month,No such people,Once a month,Never,Pretty happy,0,3,3,0,3,9
9704,9704,Sev times a week,Sev times a week,Sev times a week,Sev times a week,Once a month,Never,Very happy,6,6,6,6,3,27
9705,9705,Sev times a year,Once a month,Sev times a mnth,Never,Once a year,Never,Pretty happy,4,3,5,1,2,15
9706,9706,Sev times a year,Once a month,Never,Sev times a mnth,Sev times a mnth,Never,Not too happy,4,3,1,5,5,18
9707,9707,Sev times a mnth,Sev times a week,Never,Sev times a week,Sev times a mnth,Never,Pretty happy,5,6,1,6,5,23
9708,9708,Sev times a week,Sev times a week,Never,Sev times a week,Sev times a week,Never,Pretty happy,6,6,1,6,6,25
9709,9709,Once a year,Sev times a week,Sev times a week,No such people,Sev times a week,Never,Pretty happy,2,6,6,0,6,20
9710,9710,Sev times a year,Sev times a week,Once a month,Never,Sev times a year,Never,Pretty happy,4,6,3,1,4,18
9711,9711,Once a month,Almost daily,Almost daily,Once a year,Once a year,Almost daily,Pretty happy,3,7,7,2,2,21
9712,9712,Sev times a mnth,Sev times a week,Never,No such people,Sev times a week,Never,Pretty happy,5,6,1,0,6,18
9713,9713,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Never,Very happy,4,4,4,4,4,20
9714,9714,Sev times a week,Sev times a week,Sev times a week,No such people,Sev times a mnth,Never,Pretty happy,6,6,6,0,5,23
9715,9715,Once a month,Sev times a week,Once a month,Sev times a week,Sev times a week,Never,Pretty happy,3,6,3,6,6,24
9716,9716,Once a month,Once a month,Never,No such people,Never,Never,Pretty happy,3,3,1,0,1,8
9717,9717,Once a year,Sev times a year,Once a month,No such people,Once a year,Never,Pretty happy,2,4,3,0,2,11
9718,9718,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a year,Pretty happy,5,6,5,5,5,26
9719,9719,Sev times a year,Sev times a year,Never,No such people,Never,Never,Very happy,4,4,1,0,1,10
9720,9720,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a week,Once a month,Never,Pretty happy,5,5,5,6,3,24
9721,9721,Sev times a week,Sev times a mnth,Sev times a mnth,No such people,Sev times a year,Never,Very happy,6,5,5,0,4,20
9722,9722,Once a month,Sev times a mnth,Once a month,No such people,Sev times a mnth,Sev times a mnth,Not too happy,3,5,3,0,5,16
9723,9723,Sev times a mnth,Sev times a week,Sev times a mnth,No such people,Once a month,Never,Very happy,5,6,5,0,3,19
9724,9724,Never,Sev times a mnth,Sev times a mnth,No such people,Sev times a year,Never,Pretty happy,1,5,5,0,4,15
9725,9725,Sev times a week,Sev times a week,Sev times a mnth,Sev times a week,Once a month,Sev times a mnth,Pretty happy,6,6,5,6,3,26
9726,9726,Sev times a year,Once a month,Never,No such people,Never,Never,Pretty happy,4,3,1,0,1,9
9727,9727,Once a month,Sev times a week,Sev times a week,Sev times a week,Sev times a week,Never,Very happy,3,6,6,6,6,27
9728,9728,Sev times a week,Sev times a week,Sev times a week,Sev times a week,Once a month,Never,,6,6,6,6,3,27
9729,9729,Sev times a week,Sev times a mnth,Sev times a week,Never,Sev times a week,Sev times a year,Pretty happy,6,5,6,1,6,24
9730,9730,Once a year,Almost daily,Once a year,No such people,Don't know,Never,Pretty happy,2,7,2,0,0,11
9731,9731,Never,Sev times a week,Once a month,Sev times a year,Sev times a mnth,Never,Pretty happy,1,6,3,4,5,19
9732,9732,Don't know,Sev times a week,Never,No such people,Sev times a mnth,Never,Pretty happy,0,6,1,0,5,12
9733,9733,Sev times a week,Sev times a week,Once a month,Sev times a week,Once a year,Never,Pretty happy,6,6,3,6,2,23
9734,9734,Sev times a week,Sev times a week,Once a year,Sev times a mnth,Sev times a mnth,Never,Very happy,6,6,2,5,5,24
9735,9735,Sev times a week,Sev times a week,Sev times a mnth,Sev times a week,Sev times a mnth,Never,Very happy,6,6,5,6,5,28
9736,9736,Once a year,Sev times a week,Sev times a week,No such people,Once a month,Never,Very happy,2,6,6,0,3,17
9737,9737,Once a year,Sev times a year,Once a month,No such people,Never,Never,Pretty happy,2,4,3,0,1,10
9738,9738,Sev times a year,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a mnth,Once a year,Pretty happy,4,5,5,5,5,24
9739,9739,Never,Never,Never,No such people,Never,Never,Not too happy,1,1,1,0,1,4
9740,9740,No such people,Once a year,Almost daily,No such people,Never,Never,Very happy,0,2,7,0,1,10
9741,9741,No such people,Once a year,Sev times a week,No such people,Once a month,Never,Very happy,0,2,6,0,3,11
9742,9742,Never,Never,Once a month,No such people,Never,Never,Pretty happy,1,1,3,0,1,6
9743,9743,Sev times a week,Sev times a week,Never,Sev times a week,Sev times a week,Never,Pretty happy,6,6,1,6,6,25
9744,9744,Once a year,Sev times a mnth,Sev times a mnth,No such people,Sev times a mnth,Never,Very happy,2,5,5,0,5,17
9745,9745,Never,Sev times a year,Sev times a mnth,No such people,Sev times a mnth,Never,Pretty happy,1,4,5,0,5,15
9746,9746,Never,Sev times a year,Sev times a week,No such people,Sev times a mnth,Never,Very happy,1,4,6,0,5,16
9747,9747,No such people,Once a year,Once a month,No such people,Never,Never,Very happy,0,2,3,0,1,6
9748,9748,Once a year,Never,Sev times a mnth,No such people,Sev times a mnth,Never,Very happy,2,1,5,0,5,13
9749,9749,No such people,Sev times a week,Never,Sev times a week,Once a month,Never,Very happy,0,6,1,6,3,16
9750,9750,Sev times a week,Sev times a week,Sev times a week,No such people,Sev times a week,Never,Very happy,6,6,6,0,6,24
9751,9751,Never,Sev times a year,Sev times a year,No such people,Sev times a year,Sev times a week,Very happy,1,4,4,0,4,13
9752,9752,Never,Never,Sev times a week,Once a year,Sev times a mnth,Never,Pretty happy,1,1,6,2,5,15
9753,9753,Sev times a year,Sev times a year,Sev times a year,No such people,Sev times a year,Never,Very happy,4,4,4,0,4,16
9754,9754,Never,Once a year,Never,No such people,Once a year,Once a month,Very happy,1,2,1,0,2,6
9755,9755,Never,Sev times a week,Sev times a mnth,No such people,Once a year,Sev times a mnth,Very happy,1,6,5,0,2,14
9756,9756,Sev times a year,Sev times a year,Almost daily,Sev times a year,Sev times a week,Once a year,Not too happy,4,4,7,4,6,25
9757,9757,Sev times a year,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a year,Once a month,Pretty happy,4,5,6,5,4,24
9758,9758,Never,Once a month,Never,No such people,Sev times a year,Never,Pretty happy,1,3,1,0,4,9
9759,9759,Once a year,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a year,Once a year,Very happy,2,5,5,5,4,21
9760,9760,Sev times a year,Once a month,Never,Once a year,Once a month,Never,Pretty happy,4,3,1,2,3,13
9761,9761,Almost daily,Sev times a week,Sev times a week,Sev times a week,Sev times a year,Never,Very happy,7,6,6,6,4,29
9762,9762,Sev times a week,Sev times a week,Once a month,Sev times a week,Sev times a year,Never,Very happy,6,6,3,6,4,25
9763,9763,Sev times a week,Sev times a week,Never,Never,Never,Almost daily,Very happy,6,6,1,1,1,15
9764,9764,Once a year,Sev times a year,Sev times a mnth,Once a year,Sev times a mnth,Sev times a week,Pretty happy,2,4,5,2,5,18
9765,9765,Sev times a week,Sev times a week,Never,Sev times a week,Sev times a week,Sev times a year,Very happy,6,6,1,6,6,25
9766,9766,Once a month,Once a month,Sev times a week,Once a year,Once a month,Never,Very happy,3,3,6,2,3,17
9767,9767,No such people,Sev times a week,Once a month,Sev times a week,Once a month,Once a month,Very happy,0,6,3,6,3,18
9768,9768,Sev times a week,Sev times a week,Once a month,Sev times a week,Sev times a mnth,Never,Very happy,6,6,3,6,5,26
9769,9769,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a mnth,Once a month,Sev times a mnth,Very happy,5,5,5,5,3,23
9770,9770,Never,Sev times a mnth,Sev times a mnth,Sev times a year,Once a month,Sev times a mnth,Pretty happy,1,5,5,4,3,18
9771,9771,Once a year,Sev times a year,Never,No such people,Once a year,Never,Very happy,2,4,1,0,2,9
9772,9772,Once a year,Once a month,Never,Once a year,Once a year,Never,Pretty happy,2,3,1,2,2,10
9773,9773,Sev times a year,Sev times a year,Once a year,Sev times a year,Sev times a year,Never,Very happy,4,4,2,4,4,18
9774,9774,Sev times a week,Sev times a mnth,Almost daily,Sev times a mnth,Sev times a week,Sev times a year,Not too happy,6,5,7,5,6,29
9775,9775,Once a year,Once a month,Never,No such people,Never,Never,Pretty happy,2,3,1,0,1,7
9776,9776,Once a month,Sev times a mnth,Once a month,No such people,Once a month,Never,Pretty happy,3,5,3,0,3,14
9777,9777,Sev times a year,Sev times a year,Never,Never,Sev times a year,Never,Very happy,4,4,1,1,4,14
9778,9778,Never,Sev times a week,Once a year,No such people,Sev times a year,Never,Pretty happy,1,6,2,0,4,13
9779,9779,Sev times a mnth,Sev times a mnth,Once a month,Sev times a mnth,Sev times a year,Never,Pretty happy,5,5,3,5,4,22
9780,9780,Once a month,Once a year,Sev times a week,Almost daily,Sev times a week,Sev times a week,Pretty happy,3,2,6,7,6,24
9781,9781,Sev times a week,Almost daily,Almost daily,No such people,Sev times a mnth,Never,Very happy,6,7,7,0,5,25
9782,9782,Never,Sev times a week,Never,Sev times a mnth,Sev times a year,Once a year,Pretty happy,1,6,1,5,4,17
9783,9783,Once a month,Almost daily,Sev times a mnth,No such people,Sev times a week,Sev times a week,Pretty happy,3,7,5,0,6,21
9784,9784,Sev times a week,Sev times a week,Once a year,Sev times a week,Sev times a year,Never,Pretty happy,6,6,2,6,4,24
9785,9785,Sev times a year,Sev times a week,Sev times a year,No such people,Sev times a mnth,Never,Pretty happy,4,6,4,0,5,19
9786,9786,Sev times a year,Once a month,Never,No such people,Sev times a mnth,Never,Pretty happy,4,3,1,0,5,13
9787,9787,Sev times a mnth,Sev times a week,Never,No such people,Once a month,Once a year,Very happy,5,6,1,0,3,15
9788,9788,Sev times a week,Almost daily,Sev times a year,Sev times a week,Sev times a mnth,Sev times a mnth,Pretty happy,6,7,4,6,5,28
9789,9789,Once a year,Once a month,Sev times a year,Never,Once a year,Never,Very happy,2,3,4,1,2,12
9790,9790,Once a month,Sev times a year,Almost daily,Once a month,Sev times a mnth,Sev times a week,Very happy,3,4,7,3,5,22
9791,9791,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a week,Sev times a mnth,Pretty happy,5,5,5,5,6,26
9792,9792,Once a month,Once a month,Sev times a mnth,Never,Sev times a year,Once a year,Pretty happy,3,3,5,1,4,16
9793,9793,Sev times a mnth,Sev times a week,Once a month,No such people,Sev times a mnth,Sev times a mnth,Pretty happy,5,6,3,0,5,19
9794,9794,Sev times a year,Sev times a mnth,Once a month,Once a year,Once a month,Sev times a mnth,Pretty happy,4,5,3,2,3,17
9795,9795,No such people,Sev times a week,Never,No such people,Never,Never,Not too happy,0,6,1,0,1,8
9796,9796,Once a year,Once a month,Sev times a year,Never,Once a year,Never,Pretty happy,2,3,4,1,2,12
9797,9797,No such people,Sev times a mnth,Sev times a year,Sev times a mnth,Sev times a mnth,Sev times a mnth,Very happy,0,5,4,5,5,19
9798,9798,No such people,Sev times a week,Sev times a mnth,No such people,Almost daily,Once a month,Pretty happy,0,6,5,0,7,18
9800,9800,Never,Almost daily,Almost daily,No such people,Sev times a week,Never,Very happy,1,7,7,0,6,21
9801,9801,Once a month,Sev times a week,Once a year,No such people,Once a month,Once a month,Pretty happy,3,6,2,0,3,14
9802,9802,Never,Once a month,Sev times a week,No such people,Sev times a week,Sev times a week,Pretty happy,1,3,6,0,6,16
9803,9803,Never,Sev times a week,Sev times a mnth,No such people,Sev times a year,Never,Very happy,1,6,5,0,4,16
9804,9804,Once a year,Once a month,Sev times a week,No such people,Sev times a mnth,Never,Very happy,2,3,6,0,5,16
9805,9805,Once a year,Once a month,Never,No such people,Never,Never,Pretty happy,2,3,1,0,1,7
9806,9806,Once a year,Sev times a week,Once a month,No such people,Once a month,Never,Very happy,2,6,3,0,3,14
9807,9807,Sev times a week,Sev times a mnth,Sev times a week,Sev times a year,Sev times a week,Never,Pretty happy,6,5,6,4,6,27
9808,9808,No such people,Sev times a week,Sev times a mnth,Sev times a mnth,Sev times a year,Sev times a year,Very happy,0,6,5,5,4,20
9809,9809,Never,Sev times a week,Never,No such people,Never,Never,Pretty happy,1,6,1,0,1,9
9810,9810,Once a month,Almost daily,Sev times a week,No such people,Once a month,Never,Pretty happy,3,7,6,0,3,19
9811,9811,Sev times a week,Sev times a week,Once a month,Sev times a week,Once a month,Once a year,Very happy,6,6,3,6,3,24
9812,9812,No such people,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a mnth,Sev times a year,Very happy,0,5,6,5,5,21
9813,9813,Sev times a year,Sev times a mnth,Sev times a mnth,No such people,Sev times a year,Never,Pretty happy,4,5,5,0,4,18
9814,9814,No such people,Once a month,Never,Sev times a mnth,Once a month,Sev times a year,Very happy,0,3,1,5,3,12
9815,9815,Once a year,Once a month,Never,Sev times a year,Once a year,Sev times a year,Pretty happy,2,3,1,4,2,12
9816,9816,Once a year,Sev times a year,Sev times a year,No such people,Once a year,Never,Pretty happy,2,4,4,0,2,12
9817,9817,Sev times a year,Sev times a mnth,Sev times a year,No such people,Sev times a year,Never,Very happy,4,5,4,0,4,17
9818,9818,Sev times a week,Sev times a mnth,Sev times a mnth,No such people,Once a month,Never,Pretty happy,6,5,5,0,3,19
9819,9819,Sev times a mnth,Sev times a week,Once a month,Sev times a year,Sev times a year,Never,Pretty happy,5,6,3,4,4,22
9820,9820,Once a year,Sev times a year,Never,No such people,Never,Never,Pretty happy,2,4,1,0,1,8
9821,9821,No such people,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a mnth,Never,Pretty happy,0,5,5,5,5,20
9822,9822,Once a year,Sev times a year,Sev times a year,Sev times a year,Once a year,Never,Pretty happy,2,4,4,4,2,16
9823,9823,Sev times a week,Sev times a week,Sev times a mnth,Sev times a week,Never,Once a year,Pretty happy,6,6,5,6,1,24
9824,9824,Once a year,Once a year,Once a year,No such people,Once a year,Never,Pretty happy,2,2,2,0,2,8
9825,9825,Sev times a year,Sev times a year,Once a year,Sev times a year,Sev times a week,Once a month,Pretty happy,4,4,2,4,6,20
9826,9826,Sev times a year,Never,Almost daily,No such people,Once a month,Once a month,Pretty happy,4,1,7,0,3,15
9827,9827,Sev times a year,Once a month,Sev times a year,Sev times a mnth,Sev times a year,Never,Pretty happy,4,3,4,5,4,20
9828,9828,Once a year,Sev times a year,Once a year,No such people,Once a year,Never,Very happy,2,4,2,0,2,10
9829,9829,Almost daily,Almost daily,Almost daily,Almost daily,Sev times a mnth,Sev times a week,Very happy,7,7,7,7,5,33
9830,9830,Sev times a year,Sev times a year,Almost daily,Sev times a year,Once a year,Never,Very happy,4,4,7,4,2,21
9831,9831,Sev times a year,Sev times a year,Never,No such people,Never,Never,Very happy,4,4,1,0,1,10
9832,9832,Once a year,Almost daily,Sev times a year,No such people,Sev times a year,Never,Pretty happy,2,7,4,0,4,17
9833,9833,Almost daily,Almost daily,Sev times a year,Almost daily,Never,Sev times a year,Pretty happy,7,7,4,7,1,26
9834,9834,No such people,Once a year,Sev times a year,No such people,Once a year,Never,Very happy,0,2,4,0,2,8
9835,9835,Sev times a year,Sev times a mnth,Sev times a year,Sev times a mnth,Sev times a year,Never,Very happy,4,5,4,5,4,22
9836,9836,Once a year,Once a year,Once a month,No such people,Once a year,Never,Very happy,2,2,3,0,2,9
9837,9837,No such people,Sev times a week,Never,Sev times a year,Once a year,Never,Very happy,0,6,1,4,2,13
9838,9838,Sev times a year,Sev times a week,Sev times a year,Sev times a week,Once a year,Once a year,Pretty happy,4,6,4,6,2,22
9839,9839,Almost daily,Almost daily,Never,Almost daily,Never,Once a month,Very happy,7,7,1,7,1,23
9840,9840,Sev times a mnth,Sev times a week,Once a month,Sev times a mnth,Sev times a mnth,Once a year,Pretty happy,5,6,3,5,5,24
9841,9841,Sev times a year,Sev times a week,Sev times a week,Sev times a week,Once a month,Never,Very happy,4,6,6,6,3,25
9842,9842,Sev times a week,Sev times a week,Sev times a mnth,No such people,Sev times a mnth,Sev times a week,Very happy,6,6,5,0,5,22
9843,9843,Almost daily,Once a month,Sev times a week,No such people,Once a month,Never,Very happy,7,3,6,0,3,19
9844,9844,Don't know,Don't know,Don't know,No such people,Don't know,Never,Very happy,0,0,0,0,0,0
9845,9845,Sev times a year,Once a month,Sev times a week,Sev times a mnth,Once a year,Sev times a year,Pretty happy,4,3,6,5,2,20
9846,9846,Once a month,Sev times a week,Once a year,Sev times a mnth,Sev times a week,Never,Very happy,3,6,2,5,6,22
9847,9847,Never,Almost daily,Sev times a week,Almost daily,Sev times a mnth,Never,Very happy,1,7,6,7,5,26
9848,9848,Sev times a week,Sev times a week,Almost daily,No such people,Sev times a week,Never,Pretty happy,6,6,7,0,6,25
9849,9849,Sev times a week,Sev times a week,Sev times a week,Sev times a week,Almost daily,Once a year,Very happy,6,6,6,6,7,31
9850,9850,Sev times a mnth,Once a month,Almost daily,Sev times a mnth,Sev times a week,Never,Pretty happy,5,3,7,5,6,26
9851,9851,Sev times a week,Sev times a week,Sev times a week,Sev times a week,Almost daily,Once a year,Pretty happy,6,6,6,6,7,31
9852,9852,Never,Sev times a week,Sev times a week,Sev times a week,Never,Never,Not too happy,1,6,6,6,1,20
9853,9853,Almost daily,Almost daily,Sev times a week,No such people,Sev times a year,Never,Very happy,7,7,6,0,4,24
9854,9854,Almost daily,Almost daily,Sev times a week,No such people,Sev times a year,Once a year,Pretty happy,7,7,6,0,4,24
9855,9855,Sev times a week,Sev times a mnth,Sev times a week,No such people,Never,Never,Very happy,6,5,6,0,1,18
9856,9856,Sev times a week,Sev times a week,Sev times a mnth,Sev times a week,Once a year,Never,Pretty happy,6,6,5,6,2,25
9857,9857,Once a month,Sev times a week,Once a month,Sev times a mnth,Once a month,Never,Pretty happy,3,6,3,5,3,20
9858,9858,Almost daily,Sev times a mnth,Almost daily,Sev times a week,Once a month,Never,Pretty happy,7,5,7,6,3,28
9859,9859,Sev times a mnth,Almost daily,Sev times a week,Almost daily,Sev times a mnth,Once a year,Pretty happy,5,7,6,7,5,30
9860,9860,Once a month,Sev times a week,Sev times a week,No such people,Once a month,Never,Very happy,3,6,6,0,3,18
9861,9861,Once a month,Sev times a week,Sev times a week,Sev times a week,Sev times a year,Never,Very happy,3,6,6,6,4,25
9862,9862,Sev times a week,Almost daily,Sev times a week,Sev times a week,Once a month,Never,Pretty happy,6,7,6,6,3,28
9863,9863,Sev times a mnth,Sev times a mnth,Almost daily,Almost daily,Sev times a week,Never,Pretty happy,5,5,7,7,6,30
9864,9864,Almost daily,Almost daily,Sev times a mnth,No such people,Sev times a mnth,Never,Very happy,7,7,5,0,5,24
9865,9865,Once a month,Never,Sev times a week,No such people,Never,Never,Pretty happy,3,1,6,0,1,11
9866,9866,Sev times a mnth,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a week,Sev times a mnth,Pretty happy,5,5,6,5,6,27
9867,9867,Never,Sev times a week,Sev times a week,No such people,Sev times a mnth,Sev times a week,Pretty happy,1,6,6,0,5,18
9868,9868,Sev times a mnth,Sev times a week,Sev times a week,No such people,Sev times a week,Never,Very happy,5,6,6,0,6,23
9869,9869,Once a month,Sev times a mnth,Almost daily,Sev times a week,Once a year,Almost daily,Very happy,3,5,7,6,2,23
9870,9870,Never,Sev times a week,Never,Never,Sev times a week,Never,Very happy,1,6,1,1,6,15
9871,9871,No such people,Once a month,Once a month,No such people,Sev times a year,Sev times a year,Very happy,0,3,3,0,4,10
9872,9872,Sev times a year,Once a month,Once a month,No such people,Sev times a week,Never,Pretty happy,4,3,3,0,6,16
9873,9873,No such people,Sev times a year,Never,No such people,Sev times a year,Never,Pretty happy,0,4,1,0,4,9
9874,9874,Almost daily,Sev times a mnth,Sev times a week,No such people,Sev times a mnth,Sev times a week,Pretty happy,7,5,6,0,5,23
9875,9875,Sev times a year,Sev times a year,Sev times a week,Sev times a year,Sev times a mnth,Sev times a year,Pretty happy,4,4,6,4,5,23
9876,9876,Sev times a week,Sev times a week,Never,Once a year,Sev times a week,Never,Very happy,6,6,1,2,6,21
9877,9877,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Never,Pretty happy,4,4,4,4,4,20
9878,9878,Once a year,Sev times a year,Once a year,Once a year,Sev times a year,Never,Very happy,2,4,2,2,4,14
9879,9879,Sev times a week,Sev times a week,Sev times a week,Sev times a year,Once a month,Once a month,Pretty happy,6,6,6,4,3,25
9880,9880,Sev times a year,Sev times a mnth,Sev times a week,Sev times a mnth,Sev times a week,Never,Very happy,4,5,6,5,6,26
9881,9881,No such people,Sev times a mnth,Sev times a year,No such people,Sev times a year,Never,Very happy,0,5,4,0,4,13
9882,9882,No such people,Sev times a year,Sev times a mnth,Sev times a year,Sev times a mnth,Sev times a year,Very happy,0,4,5,4,5,18
9883,9883,Sev times a mnth,Once a month,Sev times a year,Sev times a mnth,Sev times a week,Never,Very happy,5,3,4,5,6,23
9884,9884,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a mnth,Sev times a year,Almost daily,Pretty happy,5,5,5,5,4,24
9885,9885,Once a year,Almost daily,Almost daily,No such people,Sev times a week,Never,Very happy,2,7,7,0,6,22
9886,9886,No such people,Sev times a year,Sev times a year,No such people,Sev times a year,Never,Very happy,0,4,4,0,4,12
9887,9887,No such people,Sev times a year,Sev times a mnth,No such people,Sev times a year,Once a year,Very happy,0,4,5,0,4,13
9888,9888,Sev times a year,Once a year,Sev times a mnth,Sev times a year,Sev times a mnth,Almost daily,Pretty happy,4,2,5,4,5,20
